file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,147,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,13
style.css,148,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,19
style.css,149,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,12
style.css,150,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,13
style.css,151,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,18
style.css,152,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,153,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,154,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,21
style.css,155,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,16
style.css,156,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,13
style.css,157,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,57
style.css,158,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,18
style.css,159,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,24
style.css,160,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,17
style.css,161,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,15
style.css,162,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,15
style.css,163,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,16
style.css,164,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,267
style.css,165,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,28
style.css,166,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,41
style.css,167,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,21
style.css,168,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,169,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,170,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,27
style.css,171,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,33
style.css,172,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,173,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,174,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,27
style.css,175,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,13
style.css,176,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,33
style.css,177,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,52
style.css,178,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,179,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,180,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,54
style.css,181,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,21
style.css,182,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,25
style.css,183,css,84c6df06,Jackie Wang,2025-01-20,18:47:24,-08:00,2025-01-20T18:47:24-08:00,0,0
style.css,184,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
style.css,185,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
style.css,186,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,16
style.css,187,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,11
style.css,188,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,18
style.css,189,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,19
style.css,190,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,40
style.css,191,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
style.css,192,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
style.css,193,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,18
style.css,194,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,13
style.css,195,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,37
style.css,196,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,0
style.css,197,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
style.css,198,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
style.css,199,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,18
style.css,200,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,17
style.css,201,css,87a53d13,Jackie Wang,2025-01-31,14:35:42,-08:00,2025-01-31T14:35:42-08:00,0,11
style.css,202,css,e1418ce2,Jackie Wang,2025-01-31,00:07:36,-08:00,2025-01-31T00:07:36-08:00,0,0
